Ant Colony,Nearest Neighbor,Simulated Annealing,GCN,GAT,GAT V2
31.0620,31.3465,32.5261,31.3465,31.3465,31.3465
53.0172,53.0204,72.7737,52.9246,54.0110,53.2566
73.1373,73.1955,189.0660,74.1833,76.6271,74.8290
83.4159,83.6680,325.9612,86.2478,85.4949,119.4141
116.4804,118.6204,455.1918,120.5098,116.4032,155.6684
