Ant Colony,Nearest Neighbor,Simulated Annealing,GCN,GAT,GAT V2
31.3465,31.3465,32.3967,31.3465,31.3465,31.3465
53.0204,53.0204,98.6770,54.0082,54.0110,54.0110
73.0172,73.1955,210.4215,75.3539,74.1861,84.7176
83.6680,83.6680,353.3830,85.4801,84.2838,86.2478
112.7867,118.6204,490.8195,114.2090,118.4589,115.3694
